date,new_cases,new_deaths,weekly_hosp_admissions
2020-03-01,51.0,,24.0
2020-03-02,33.0,,29.0
2020-03-03,38.0,,47.0
2020-03-04,74.0,,65.0
2020-03-05,138.0,,77.0
2020-03-06,239.0,,92.0
2020-03-07,156.0,,134.0
2020-03-08,107.0,,150.0
2020-03-09,237.0,2.0,161.0
2020-03-10,157.0,0.0,183.0
2020-03-11,271.0,1.0,223.0
2020-03-12,802.0,2.0,265.0
2020-03-13,693.0,0.0,324.0
2020-03-14,733.0,3.0,397.0
2020-03-15,1043.0,4.0,455.0
2020-03-16,1174.0,1.0,529.0
2020-03-17,1144.0,,690.0
2020-03-18,1042.0,0.0,861.0
2020-03-19,2801.0,8.0,1131.0
2020-03-20,2958.0,11.0,1406.0
2020-03-21,2705.0,16.0,1693.0
2020-03-22,1948.0,8.0,2021.0
2020-03-23,4062.0,31.0,2237.0
2020-03-24,4764.0,28.0,2539.0
2020-03-25,4118.0,35.0,3004.0
2020-03-26,4954.0,49.0,3495.0
2020-03-27,5780.0,55.0,3983.0
2020-03-28,6294.0,72.0,4470.0
2020-03-29,3965.0,64.0,4869.0
2020-03-30,4751.0,66.0,5151.0
2020-03-31,4615.0,128.0,5482.0
2020-04-01,5453.0,149.0,5909.0
2020-04-02,6156.0,140.0,6131.0
2020-04-03,6174.0,145.0,6261.0
2020-04-04,6082.0,141.0,6354.0
2020-04-05,5936.0,184.0,6238.0
2020-04-06,3677.0,92.0,6108.0
2020-04-07,3834.0,173.0,6039.0
2020-04-08,4003.0,254.0,5790.0
2020-04-09,4974.0,246.0,5631.0
2020-04-10,5323.0,266.0,5455.0
2020-04-11,4133.0,171.0,4988.0
2020-04-12,2821.0,129.0,4814.0
2020-04-13,2537.0,126.0,4749.0
2020-04-14,2082.0,170.0,4371.0
2020-04-15,2486.0,285.0,4077.0
2020-04-16,2866.0,315.0,3873.0
2020-04-17,3380.0,299.0,3661.0
2020-04-18,3609.0,242.0,3654.0
2020-04-19,2458.0,184.0,3514.0
2020-04-20,1775.0,110.0,3393.0
2020-04-21,1785.0,194.0,3426.0
2020-04-22,2237.0,281.0,3249.0
2020-04-23,2352.0,215.0,3004.0
2020-04-24,2337.0,227.0,2734.0
2020-04-25,2055.0,179.0,2529.0
2020-04-26,1737.0,140.0,2389.0
2020-04-27,1018.0,110.0,2238.0
2020-04-28,1144.0,163.0,2059.0
2020-04-29,1304.0,202.0,1969.0
2020-04-30,1478.0,173.0,1772.0
2020-05-01,1639.0,193.0,1715.0
2020-05-02,945.0,94.0,1545.0
2020-05-03,793.0,74.0,1416.0
2020-05-04,679.0,43.0,1368.0
2020-05-05,685.0,139.0,1292.0
2020-05-06,947.0,165.0,1192.0
