"","True","Segmented","Rbeast","mcp","strucchange"
"1",249.316769,293.999998196262,316,283.381548715163,322
"2",250.082268,443.000001252994,311,262.720863940414,310
"3",228.403666,168.000017031005,308,301.547782395137,307
"4",257.514347,45.9999921912932,218,219.685989771477,217
"5",270.301459,296.000004479534,329,128.284021628003,328
"6",276.146157,449.849345712187,217,286.414262636595,321
"7",254.895437,279.000009510956,321,322.233543753527,320
"8",271.257601,168.000001016774,304,239.345192937101,303
"9",271.658368,292.000008714036,338,295.648014144361,337
"10",227.246832,447.000023282367,212,213.947110830609,217
"11",240.29355,476,253,251.523106693693,250
"12",277.947397,475.000012256504,342,310.974743007139,326
"13",260.107122,189.999999961428,213,251.841570898189,324
"14",233.3371,166.000006815994,300,297.983550999182,299
"15",249.312317,167.809092170663,225,218.266326906621,224
"16",243.774739,170.999983173271,222,255.562500361327,221
"17",276.782943,276.999997211411,210,285.314364850667,327
"18",276.613462,263.000000483515,322,319.746557343209,321
"19",272.234056,250.999998752972,306,301.497683033993,295
"20",224.695377,177.999956867209,200,316.868284942726,319
"21",269.297734,265.999999687036,314,312.556729107137,311
"22",275.340856,187.000004414722,316,281.555648223635,315
"23",222.89816,281.999975113318,315,317.18295750179,314
"24",275.188257,268.99999398165,317,238.572546241185,316
"25",239.933191,275.999999206297,318,316.886012024712,317
"26",259.975245,58.9999926675257,228,225.857877482049,227
"27",231.13836,299.000000115741,250,352.789260465477,426
"28",276.33946,475.336810813936,343,332.046163076267,339
"29",221.141823,162.814316900718,303,270.226785239764,203
"30",260.935305,185.000002264017,148,211.107224582633,320
"31",272.827473,259.214245141931,313,248.155413545907,312
"32",247.656752,178.000001007645,302,269.220921503783,301
"33",262.679455,174.000001469397,212,246.087722772242,218
"34",252.631011,459.975197717341,217,287.875426964877,323
"35",245.481156,275.999998539696,324,323.569191540184,323
"36",266.714873,300.00002286328,336,226.590292935222,335
"37",238.671075,275.999999988482,308,287.003453865609,308
"38",273.187399,298.999986847716,347,222.790005065162,345
"39",270.943464,288.999999747577,327,249.82191505064,330
"40",256.454733,472.000007560961,482,253.701086463645,402
"41",276.399442,305.999990124191,253,229.189135677717,336
"42",277.535552,281.000003014096,215,251.51420157435,321
"43",244.496652,422.000018936735,209,276.953823623371,311
"44",228.333272,50.9999886375569,230,221.433335795957,220
"45",226.399245,73.9999415799387,212,258.315471667052,214
"46",273.080335,169.000000268269,303,269.984397536195,302
"47",224.784706,41.9999995817611,228,265.758923762449,223
"48",242.25921,168.000000643477,219,254.907674457363,218
"49",254.324637,449.716687464917,209,281.638250908333,309
"50",220.803123,172.999998791761,210,209.046570583626,209
"51",255.361337,51.9999739385659,216,217.239403553824,215
"52",245.109763,171.574318970192,298,268.353713289815,297
"53",260.663126,172.999999417549,308,269.19063577478,307
"54",235.129734,460.401768213956,217,216.547112227048,216
"55",226.503656,168.020756193505,200,269.117047120424,203
"56",241.388079,162.999998611219,216,215.376146962404,215
"57",236.600206,467.000008551377,212,291.17527227333,211
"58",278.312787,271.999972901701,308,273.637865731351,307
"59",259.779924,305.999992454703,39,235.322391339722,330
"60",233.508,276.999360901364,329,326.796706756466,328
"61",252.046429,273.999999613211,317,316.819628723992,316
"62",269.754431,271.00001779326,315,276.73801171564,314
"63",273.829135,273.126925214054,326,288.571337687621,321
"64",264.285833,178.999999602394,224,263.414736175454,223
"65",234.485412,158.000019998099,201,203.205376536197,200
"66",269.945088,295.082489290871,325,285.086386508829,426
"67",271.76669,268.999985223984,330,324.353309767091,329
"68",236.370199,161.000006172585,282,281.346320331703,281
"69",264.422803,303.999994333448,264,333.495487805436,326
"70",270.294907,294.999991093728,328,245.433402444007,329
"71",271.43626,281.999996612271,324,209.796807288552,323
"72",248.680495,65.000025162639,285,250.246857480897,208
"73",279.671463,399.000002857038,277,276.926971184389,417
"74",237.922051,174.999992587303,202,254.372329003644,211
"75",225.137851,433.99999013879,244,199.218330478842,146
"76",256.174099,174.000003392708,300,295.097616866879,299
"77",272.317636,172.9999959736,325,326.693934209511,329
"78",253.328145,167.067615350184,294,241.662040284254,293
"79",274.868505,476,39,205.049037775281,402
"80",269.570169,190.999988209785,217,219.104753681932,311
"81",270.325546,268.000004120869,314,274.50547680771,313
"82",266.484669,177.30352481732,146,250.954617481678,310
"83",275.239718,170.000039937125,345,335.10098746995,332
"84",268.996802,476,213,253.56798745746,330
"85",234.848337,62.9999927831321,216,212.579620236368,215
"86",259.711543,55.3225686575329,212,263.871695317563,211
"87",276.17278,467.00000197878,210,329.036140280441,333
"88",276.334225,264.999999847689,314,321.017429583238,321
"89",236.144955,162.000004860137,213,211.427502651866,212
"90",257.603631,167.349418804639,218,217.277029621229,325
"91",244.517178,279.000006632445,319,322.559997501105,320
"92",275.741811,281.245639592067,326,326.317291311602,325
"93",236.016827,459.000004213849,317,303.351475699355,315
"94",259.829112,285.999995432852,318,317.301108621083,426
"95",249.514163,190.999999135828,212,316.275558234099,316
"96",257.873922,441.000000456239,324,245.936390832054,322
"97",225.255227,263.999998036186,313,313.081450249014,312
"98",248.03402,169.999997226994,218,249.184139961028,217
"99",250.173684,469.801594257186,340,111.260025493006,NA
"100",278.05599,286.99999910952,326,308.870800232621,325
"101",279.8733,178.058503964934,310,285.709301953653,308
"102",236.637542,476,335,325.612167049284,329
"103",232.793863,45.9999375054273,217,219.140482183881,217
"104",247.379056,298.999999997759,257,326.747508061822,325
"105",258.928842,264.000001752653,315,235.579480716983,314
"106",221.083973,446.594931447023,206,209.724338983147,205
"107",257.076247,287.999995875663,331,331.725917769386,330
"108",260.043338,291.000037125576,210,246.229040408399,323
"109",254.3378,165.999999974096,217,215.078438264768,216
"110",255.478254,306.999980756031,412,349.870664117864,335
"111",270.717606,465.968894393816,323,315.946672343616,322
"112",224.31066,449.99995156817,164,261.042753044884,163
"113",236.206465,66.0000005256166,218,254.916643361305,217
"114",238.356195,254.000000749223,307,307.26811359596,306
"115",250.816755,179.000002186136,220,254.17653310453,222
"116",230.913731,277.999998905283,316,317.663391433915,315
"117",228.009699,59.0000095310905,219,217.376854059342,218
"118",240.701658,281.00000414587,321,322.213782747153,321
"119",236.287099,162.999997794072,198,260.489739010037,202
"120",237.285725,57.0000031306329,225,309.133324630612,224
"121",250.409217,466.563958419685,324,211.746141124321,323
"122",248.190391,158.000002615447,280,278.010183730763,279
"123",238.794637,63.9999806839457,290,227.617362551192,198
"124",271.80547,286.999997209838,327,328.832236508937,326
"125",245.212574,271.000017074481,305,236.896868216324,425
"126",251.791446,473.999999949825,337,333.564328149365,336
"127",252.719438,154.999991938031,296,289.932962769208,289
"128",276.64579,262.307759917053,315,318.313000878396,314
"129",276.930999,271.000000385756,320,315.735125832492,319
"130",221.091738,174.293369565458,202,210.867794299411,210
"131",256.304644,286.999949496042,247,318.160440562718,315
"132",244.795333,456.580046082102,217,272.85446454704,323
"133",240.064969,476,324,321.270528624192,323
"134",236.497645,308.999968114142,483,455.803540995991,333
"135",232.974828,163.999988307161,203,213.069324717746,215
"136",242.394155,466.719337436199,478,143.156880183604,NA
"137",237.88795,160.999997517097,211,213.854230330313,212
"138",278.122747,171.000021151684,302,276.735621895862,309
"139",231.709749,172.000005712599,209,241.698756751684,208
"140",267.173682,281.999995979918,318,315.566546729654,317
"141",267.120858,475.000000591458,406,214.858302069582,345
"142",270.6846,285.000002955796,219,322.171902504213,323
"143",276.678654,185.000000269229,320,214.680239688515,319
"144",249.947617,174.999956867108,211,275.406062873341,210
"145",278.821112,377.00000439064,31,162.228634239732,403
"146",264.022058,291.000000485248,326,326.432118199756,325
"147",223.390219,282.00000867445,241,271.007017976107,426
"148",221.26889,178.999997254355,213,230.643698139387,233
"149",232.588773,297.000003621825,248,328.034710958932,327
"150",259.622071,174.361380145827,209,214.136476640484,304
"151",232.873337,157.348921115123,210,211.145994573477,212
"152",266.906554,476,NA,236.167336271837,336
"153",241.988758,311.999994477051,33,181.67069639544,157
"154",224.260345,291.694952995632,150,342.007169406754,426
"155",261.066539,174.999956123102,301,270.495442304994,300
"156",250.350811,294.999999029122,334,330.918850602099,333
"157",261.925307,473.999963856526,272,234.412152492725,411
"158",237.241339,462.883609571732,321,296.944605055622,319
"159",270.815493,291.999997819546,240,129.10565017239,332
"160",248.634656,278.999997553017,316,316.564436750676,315
"161",278.420451,180.999998786229,315,218.709817143746,314
"162",221.886529,290.999998685544,251,162.080658226691,206
"163",277.496105,276.489680653356,314,310.753172997352,313
"164",232.7922,281.000000003209,323,323.632303532819,322
"165",268.244713,392.999964605738,355,231.203605590707,337
"166",241.519107,401.770429439992,307,308.352605281253,426
